period,item_id,name,query,title,url,brand_tier,cba_flag,category,in_stock,promo_flag,price_original,price_promo,price_final,unit_price_base,qty_base,expected_qty,cost_item_ae,substitution
2025-09,harina_canuelas_000_1kg,Harina de trigo 000 Cañuelas x 1 kg,PINNED,Harina de Trigo 000 Cañuelas x 1 Kg.,https://supermercado.laanonimaonline.com/almacen/harina-y-pan-rallado/harina-de-trigo/harina-de-trigo-000-canuelas-x-1-kg/art_4/,estándar,si,Almacen,True,True,188.0,188.0,188.0,188.0,1.0,0.0,,
2025-09,harina_pureza_000_1kg,Harina de trigo 000 Ultra Refinada Pureza x 1 kg,PINNED,Harina de Trigo 000 Ultra Refinada Pureza x 1 Kg.,https://supermercado.laanonimaonline.com/almacen/harina-y-pan-rallado/harina-de-trigo/harina-de-trigo-000-ultra-refinada-pureza-x-1-kg/art_22451/,estándar,si,Almacen,True,True,1200.0,1200.0,1200.0,1200.0,1.0,0.0,,
2025-09,harina_morixe_000_1kg,Harina de trigo 000 Morixe x 1 kg,PINNED,Harina de Trigo 000 Morixe x 1 Kg.,https://supermercado.laanonimaonline.com/almacen/harinas/harinas-de-trigo/harina-de-trigo-000-morixe-x-1-kg/art_2045/,estándar,si,Almacen,True,True,820.0,820.0,820.0,820.0,1.0,0.0,,
2025-09,harina_chacabuco_000_1kg,Harina de trigo 000 Chacabuco x 1 kg,PINNED,Harina de Trigo 000 Chacabuco x 1 Kg.,https://supermercado.laanonimaonline.com/almacen/harina-y-pan-rallado/harina-de-trigo/harina-de-trigo-000-chacabuco-x-1-kg/art_13/,estándar,si,Almacen,True,True,990.0,930.0,930.0,930.0,1.0,0.0,,
2025-09,harina_blancaflor_0000_1kg,Harina de trigo 0000 Blancaflor x 1 kg,PINNED,Harina de Trigo 0000 Blancaflor x 1 Kg.,https://supermercado.laanonimaonline.com/almacen/harina-y-pan-rallado/harina-de-trigo/harina-de-trigo-0000-blancaflor-x-1-kg/art_27492/,estándar,no,Almacen,True,True,1390.0,1450.0,1450.0,1450.0,1.0,0.0,,
2025-09,harina_morixe_0000_1kg,Harina de trigo 0000 Morixe x 1 kg,PINNED,Harina de Trigo 0000 Morixe x 1 Kg.,https://supermercado.laanonimaonline.com/almacen/harinas/harinas-de-trigo/harina-de-trigo-0000-morixe-x-1-kg/art_2046/,estándar,no,Almacen,True,True,1400.0,780.0,780.0,780.0,1.0,0.0,,
2025-09,fideos_spaghetti_lucchetti_500g,Fideos Spaghetti N7 Lucchetti x 500 g,PINNED,Fideos Spaghetti N7 Lucchetti x 500 g.,https://supermercado.laanonimaonline.com/almacen/arroz-pastas-y-legumbres/fideos-spaghetti-n7-lucchetti-x-500-g/art_25878/,estándar,si,Almacen,True,True,1650.0,1650.0,1650.0,3300.0,0.5,0.0,,
2025-09,fideos_spaghetti_la_anonima_500g,Fideos Spaghetti Lucchetti x 500 g,PINNED,Fideos Spaghetti Lucchetti x 500 g.,https://supermercado.laanonimaonline.com/almacen/arroz-pastas-y-legumbres/fideos-spaghetti-lucchetti-x-500-g/art_7/,estándar,si,Almacen,True,True,230.0,230.0,230.0,460.0,0.5,0.0,,
2025-09,fideos_tallarines_cica_500g,Fideos Tallarines Cica x 500 g,PINNED,Fideos Tallarines Cica x 500 g.,https://supermercado.laanonimaonline.com/almacen/arroz-pastas-y-legumbres/fideos-tallarines-cica-x-500-g/art_14009/,estándar,si,Almacen,True,True,123.0,123.0,123.0,246.0,0.5,0.0,,
2025-09,fideos_tallarines_arcor_500g,Fideos Tallarín Arcor x 500 g,PINNED,Fideos Tallarín Arcor x 500 g.,https://supermercado.laanonimaonline.com/almacen/arroz-pastas-y-legumbres/fideos-tallarin-arcor-x-500-g/art_13658/,estándar,si,Almacen,True,True,1450.0,1160.0,1160.0,2320.0,0.5,0.0,,
